Bee species	Flower genus	Flower species	Flower family		
	Dillwynia	floribunda	Fabaceae	1	1
	Eremophila	mitchellii	Scrophulariaceae		3
	Goodenia	bellidifolia	Goodeniaceae	1	
	Pultenaea	humilis	Fabaceae		1
	Pultenaea	tuberculata	Fabaceae		1
	Stylidium		Stylidiaceae		1
	Swainsona		Fabaceae		1
	Wahlenbergia		Campanulaceae	2	1
Megachile sp. JK298					
	Eucalyptus	dumosa	Myrtaceae	1	
Megachile msp. eremophilae					
	Eremophila	gilesii	Scrophulariaceae	1	1
	Eremophila	goodwinii	Scrophulariaceae		1
	Eremophila	mitchellii	Scrophulariaceae	9	2
	Eremophila	sturtii	Scrophulariaceae	6	3
	Olearia	subspicata	Asteraceae		1
Megachile msp. cap7					
	Eremophila		Scrophulariaceae	1	
Megachile msp. torr1					
	Daviesia	ulicifolia	Fabaceae		2
	Dillwynia	floribunda	Fabaceae		1
	Dillwynia	tenuifolia	Fabaceae	2	1
Megachile sp. unsorted					
	Calytrix	exstipulata	Myrtaceae	1	
	Eremophila	gilesii	Scrophulariaceae	6	6
	Eremophila	goodwinii	Scrophulariaceae		1
	Eremophila	maculata	Scrophulariaceae		3
	Swainsona	purpurea	Fabaceae	2	
	Jacksonia	scoparia	Fabaceae	1	
	Scaevola	depauperata	Goodeniaceae	1	
	Scaevola	virgata	Goodeniaceae	2	
