Bee species	Flower genus	Flower species	Flower family	Females	Males
Euhesma (Euhesma) msp. joadja					
	Gompholobium	minus	Fabaceae	6	2
	Goodenia	hederacea	Goodeniaceae		1
Euhesma (Euhesma) msp. M					
	Dillwynia	floribunda	Fabaceae		1
	Eriostemon	australasius	Rutaceae	1	
Euhesma (Euhesma) msp. marra1					
	Leptospermum		Myrtaceae	8	
	Leptospermum	trinervum	Myrtaceae	1	
Euhesma (Euhesma) msp. mitra					
	Dillwynia	floribunda	Fabaceae	1	
	Mitrasacme	polymorpha	Loganiaceae		1
	Wahlenbergia		Campanulaceae		2
Euhesma (Euhesma) msp. moema					
	Wahlenbergia		Campanulaceae		2
Euhesma (Euhesma) msp. mw					
	Boronia	ledifolia	Rutaceae	2	
Euhesma (Euhesma) msp. pelliptica					
	Goodenia	bellidifolia	Goodeniaceae		1
	Pultenaea	boormanii	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	10	5
Euhesma (Euhesma) msp. pinn					
	Baeckea	crassifolia	Myrtaceae		2
Euhesma (Euhesma) msp. simD					
	Newcastelia	cephalantha	Lamiaceae	26	9
	Trachymene	glaucifolia	Araliaceae	1	
Euhesma (Euhesma) msp. tootie					
	Leptospermum	trinervum	Myrtaceae	1	
Euhesma (Euhesma) msp. vert					
	Verticordia	chrysantha	Myrtaceae		2
	Verticordia	picta	Apiaceae	1	13
	Verticordia	picta	Myrtaceae	1	13
	Verticordia	pritzelii	Myrtaceae	4	1
Euhesma (Euhesma) msp. wh					
	Thryptomene		Myrtaceae	2	
Euhesma (Euhesma) sp. unsorted					
	Acacia	johnsonii	Fabaceae	1	
	Angophora	hispida	Myrtaceae	1	
	Boronia	ledifolia	Rutaceae		1
	Bossiaea	spinescens	Fabaceae		2
	Calytrix	tetragona	Myrtaceae	13	
	Dampiera		Goodeniaceae	1	
	Daviesia	mimosoides	Fabaceae		1
	Dianella	caerulea	Hemerocallidaceae		1
	Dillwynia	floribunda	Fabaceae	3	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Eucalyptus		Myrtaceae	2	
	Gastrolobium	crassifolium	Fabaceae	2	
	Gastrolobium		Fabaceae	4	
	Hakea	mitchellii	Proteaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Kunzea	brevifolia	Myrtaceae	1	
	Leptospermum	continentale	Myrtaceae	1	
	Leptospermum	divaricatum	Myrtaceae	3	
	Leptospermum	myrsinoides	Myrtaceae	2	
	Leptospermum	parvifolium	Myrtaceae	5	1
	Leucopogon	virgatus	Ericaceae	1	
	Mirbelia	rubiifolia	Fabaceae	2	
	Mirbelia	viminalis	Fabaceae	5	1
	Mitrasacme	polymorpha	Loganiaceae		4
	Persoonia	chamaepitys	Proteaceae		1
	Phyllota	phylicoides	Fabaceae	2	
	Platysace	ericoides	Apiaceae	1	
	Pultenaea	foliolosa	Fabaceae	2	3
	Pultenaea	scabra	Fabaceae	1	1
	Wahlenbergia		Campanulaceae		2
Euryglossa adelaidae					
	Angophora	floribunda	Myrtaceae	4	
	Eucalyptus		Myrtaceae	1	1
	Eucalyptus	dumosa	Myrtaceae	2	5
	Eucalyptus	socialis	Myrtaceae		1
	Eucalyptus		Myrtaceae	4	
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Melaleuca		Myrtaceae	1	4
	Melaleuca	uncinata	Myrtaceae		2
Euryglossa alincia					
	Eucalyptus		Myrtaceae		1
Euryglossa aureopilosa					
	Leptospermum	polygalifolium	Myrtaceae	1	1
Euryglossa capitata					
	Angophora	hispida	Myrtaceae	1	
Euryglossa cupreochalybea					
	Eucalyptus		Myrtaceae	1	
Euryglossa depressa					
	Eucalyptus		Myrtaceae		1
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	continentale	Myrtaceae		1
	Leptospermum	myrsinoides	Myrtaceae		3
	Leptospermum		Myrtaceae		1
Euryglossa edwardsii					
	Eucalyptus	albens	Myrtaceae	2	
	Hakea		Proteaceae	1	3
Euryglossa ephippiata					
	Angophora	floribunda	Myrtaceae	2	
	Angophora	hispida	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	2	2
	Leptospermum		Myrtaceae	5	2
	Leptospermum	trinervum	Myrtaceae	1	1
Euryglossa nigrocaerulea					
	Angophora	hispida	Myrtaceae	3	
	Bursaria	spinosa	Pittosporaceae	1	
	Eucalyptus		Myrtaceae	2	3
	Eucalyptus	burgessiana	Myrtaceae	2	1
	Eucalyptus	socialis	Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	1
	Leptospermum	polygalifolium	Myrtaceae		1
Euryglossa subsericea					
	Angophora	floribunda	Myrtaceae	3	3
	Angophora	hispida	Myrtaceae	1	1
	Eucalyptus		Myrtaceae	1	1
	Kunzea	ambigua	Myrtaceae	1	3
	Leptospermum		Myrtaceae	2	2
	Leptospermum	trinervum	Myrtaceae		1
	Syzygium		Myrtaceae		1
Euryglossa terminata					
	Leptospermum	polygalifolium	Myrtaceae	1	
Euryglossa trichoda					
	Eucalyptus		Myrtaceae	5	
Euryglossa sp. unsorted					
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
Euryglossina (Euryglossina) argocephala					
	Corymbia	eximia	Myrtaceae	6	2
	Eucalyptus		Myrtaceae	2	
Euryglossina (Euryglossina) atomaria					
	Acacia	parramattensis	Fabaceae	1	
	Angophora	hispida	Myrtaceae	3	4
	Leptospermum		Myrtaceae	5	
Euryglossina (Euryglossina) atra					
	Corymbia	eximia	Myrtaceae	3	
	Leptospermum	polygalifolium	Myrtaceae	3	
Euryglossina (Euryglossina) cockerelli					
	Angophora	bakeri	Myrtaceae	2	
	Callistemon	citrinus	Myrtaceae	6	1
	Callistemon		Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	6	1
	Leptospermum	polygalifolium	Myrtaceae	2	2
	Melaleuca	quinquinerva	Myrtaceae	1	
	Melaleuca		Myrtaceae	1	
